Security Code,symbol
543971,BONDADA
,BOROLTD
,BORORENEW
,BOSCHLTD
,BPCL
,BPL
541096,BPLPHARMA
505690,BRADYM
535693,BRAHMINFRA
543439,BRANDBUCKT
530207,BRAWN
,BRFL
530249,BRIDGESE
,BRIGADE
526731,BRIGHTBR
532113,BRIJLEAS
539434,BRIPORT
544101,BRISK
,BRITANNIA
,BRNL
,BROOKS
538546,BRPL
543543,BRRL
,BSE
532123,BSELALGO
,BSHSL
,BSL
533408,BSLGOLDETF
,BSOFT
,BTML
533108,BTTL
,BURNPUR
,BUTTERFLY
,BVCL
,BYKE
517236,CALCOM
,CALSOFT
,CAMLINFINE
,CAMPUS
,CAMS
,CANBK
,CANDC
522292,CANDOUR
,CANFINHOME
,CANTABIL
,CAPACITE
539198,CAPFIN
,CAPITALSFB
,CAPLIPOINT
538817,CAPPIPES
509486,CAPRIHANS
,CAPTRUST
,CARBORUNIV
,CAREERP
,CARERATING
543621,CARGOSOL
543618,CARGOTRANS
,CARTRADE
,CARYSIL
534732,CASPIAN
,CASTROLIND
531158,CATVISION
542934,CBPL
544000,CCAL
,CCCL
,CCHHL
,CCL
531900,CCLINTER
534796,CDG
,CDSL
,CEATLTD
530789,CEEJAY
531119,CEENIK
514171,CEETAIN
538734,CEINSYSTECH
,CELEBRITY
,CELESTIAL
,CELLO
522251,CENLUB
,CENTENKA
,CENTEXT
,CENTRALBK
,CENTRUM
,CENTUM
,CENTURYPLY
,CENTURYTEX
,CERA
,CEREBRAINT
,CESC
512341,CESL
539991,CFEL
543920,CFF
540310,CFL
,CGCL
539598,CGFL
,CGPOWER
531489,CGVAK
,CHALET
530747,CHALLANI
,CHAMBLFERT
542627,CHANDNIMACH
530309,CHANDRAP
544151,CHATHA
542678,CHCL
531099,CHECKPOINT
,CHEMBOND
,CHEMCON
,CHEMFAB
506365,CHEMOPH
,CHEMPLASTS
537326,CHEMTECH
,CHENNPETRO
,CHEVIOT
532992,CHLLTD
531977,CHLOGIST
512301,CHMBBRW
,CHOICEIN
530427,CHOKSI
526546,CHOKSILA
,CHOLAFIN
,CHOLAHLDNG
519475,CHORDIA
540681,CHOTHANI
501833,CHOWGULSTM
511696,CHRTEDCA
519477,CIANAGRO
,CIEINDIA
530879,CIFL
,CIGNITITEC
530829,CILSEC
526373,CINDHO
531283,CINDRELL
,CINELINE
530457,CINERAD
,CINEVISTA
,CIPLA
502445,CITADEL
531235,CITIPOR
539091,CITL
,CKFSL
543435,CLARA
512213,CLASELE
,CLEAN
,CLEDUCATE
540481,CLFL
530839,CLIOINFO
,CLSEL
540199,CMBL
,CMICABLES
523489,CMMHOSP
,CMMIPL
,CMSINFO
543619,CNCRD
512018,CNIRESLTD
533407,CNOVAPETRO
,COALINDIA
520131,COARO
,COASTCORP
,COCHINSHIP
508571,COCHMAL
500147,COCKERILL
,COFFEEDAY
,COFORGE
542866,COLABCLOUD
531210,COLINZ
,COLPAL
534691,COMCL
535267,COMFINCAP
531216,COMFINTE
543843,COMMAND
531041,COMPEAU
,COMPINFO
507833,COMPUPN
,COMPUSOFT
543921,COMRADE
,COMSYN
522231,CONART
,CONCOR
538965,CONCORD
,CONCORDBIO
504340,CONFINT
,CONFIPET
,CONSOFINVT
523844,CONSTRONIC
543606,CONTAINE
506935,CONTCHM
,CONTI
531460,CONTICON
531067,CONTILI
523232,CONTPTR
,CONTROLPR
507543,CORAGRO
524506,CORALAB
,CORALFINAC
,CORDSCABLE
,COROMANDEL
530545,COSCO
543928,COSMICCRF
523100,COSMOFE
,COSMOFIRST
543172,COSPOWER
538922,COSYN
,COUNCODOS
536974,CPL
,CRAFTSMAN
538770,CRANEINFRA
512093,CRANESSOFT
522001,CRANEX
509472,CRAVATEX
,CREATIVE
,CREATIVEYE
,CREDITACC
512379,CRESSAN
,CREST
526977,CRIMSON
,CRISIL
531909,CROISSANCE
,CROMPTON
523105,CROPSTER
,CROWN
540903,CRPRISK
,CSBBANK
538868,CSL
,CSLFINANCE
531380,CSURGSU
540652,CTCL
,CTE
538476,CTL
,CUB
,CUBEXTUB
511710,CUBIFIN
,CUMMINSIND
,CUPID
543378,CWD
531472,CYBELEIND
,CYBERMEDIA
,CYBERTECH
,CYIENT
,CYIENTDLM
,DABUR
539681,DAL
,DALBHARAT
,DALMIASUG
,DAMODARIND
,DANGEE
532329,DANLAW
540361,DANUBE
543651,DAPS
539884,DARSHANORNA
543225,DATAINFRA
,DATAMATICS
,DATAPATTNS
526443,DATASOFT
519413,DATIWARE
530171,DAULAT
,DAVANGERE
,DBCORP
,DBL
,DBOL
,DBREALTY
,DBSTOCKBRO
,DCAL
,DCBBANK
,DCI
,DCM
,DCMFINSERV
,DCMNVL
,DCMSHRIRAM
,DCMSRIND
,DCW
,DCXINDIA
539559,DDIL
505703,DECANBRG
542248,DECCAN
,DECCANCE
524752,DECIPHER
,DEEPAKFERT
,DEEPAKNTR
514030,DEEPAKSP
,DEEPENR
,DEEPINDS
542679,DEL
,DELHIVERY
,DELPHIFX
539596,DELTA
,DELTACORP
,DELTAMAGNT
,DEN
537536,DENISCHEM
,DENORA
531521,DESHRAK
531585,DEVINE
,DEVIT
543848,DEVLAB
,DEVYANI
539190,DFL
,DGCONTENT
542155,DGL
538715,DHABRIYA
531923,DHAMPURE
,DHAMPURSUG
,DHANBANK
512485,DHANCOT
521151,DHANFAB
,DHANI
521216,DHANROTO
,DHANUKA
511451,DHARFIN
,DHARMAJ
543753,DHARNI
,DHARSUGAR
540080,DHATRE
517514,DHINDIA
526971,DHOOTIN
531306,DHPIND
,DHRUV
531237,DHRUVCA
,DHUNINV
543516,DHYAANITR
,DIACABS
,DIAMINESQ
,DIAMONDYD
530959,DIANATEA
,DICIND
,DIGIDRIVE
,DIGISPICE
,DIGJAMLMTD
540151,DIKSAT
,DIL
531153,DILIGENT
500068,DISAQ
,DISHTV
539405,DITCO
,DIVGIITTS
,DIVISLAB
,DIXON
,DJML
541299,DLCL
,DLF
,DLINKINDIA
504240,DLTNCBL
,DMART
,DMCC
540811,DML
543410,DMR
,DNAMEDIA
,DODLA
,DOLATALGO
542013,DOLFIN
,DOLLAR
,DOLPHIN
,DOMS
,DONEAR
,DPABHUSHAN
543594,DPL
,DPSCLTD
,DPWIRES
,DQE
540144,DRA
526783,DRAGARWQ
,DRCSYSTEMS
,DREAMFOLKS
,DREDGECORP
543713,DRONACHRYA
,DRREDDY
501148,DSINVEST
,DSKULKARNI
,DSSL
,DTIL
,DUCON
511634,DUGARHOU
531471,DUKEOFS
504908,DUNCANENG
526355,DUROPACK
516003,DUROPLY
517437,DUTRON
,DVL
,DWARKESH
,DYCL
,DYNAMATECH
530779,DYNAMICP
517238,DYNAVSN
,DYNPRO
,E2E
543765,EARTH
,EASEMYTRIP
531346,EASTRED
,EASTSILK
540006,EASTWEST
542906,EASUN
,EASUNREYRL
