Time,close,signal,Symbol,Market Cap cr,Profit %
2024-06-03,391.54998779296875,Buy,SURAJEST,1737.0,5.401843933105469%
2024-06-03,196.85000610351562,Buy,SURYODAY,2087.0,29.92224517059326%
2024-06-03,50.0,Sell,SUZLON,67525.0,82833.69232434011%
2024-06-03,597.2000122070312,Buy,SWANENERGY,18720.0,65.33051417922974%
2024-06-03,1262.5999755859375,Sell,SWELECTES,1894.0,481.3118252449035%
2024-06-03,736.9000244140625,Buy,SWSOLAR,17132.0,307.07731002044676%
2024-06-03,168.9499969482422,Sell,TARC,5001.0,593.5878991508484%
2024-06-03,1060.8499755859375,Buy,TATACHEM,27013.0,8915.152450139998%
2024-06-03,1775.25,Sell,TATACOMM,50619.0,981.6782311706543%
2024-06-03,1069.1500244140625,Sell,TATACONSUM,101964.0,10387.337464774131%
2024-06-03,950.4500122070312,Buy,TATAMOTORS,348345.0,288469.6969182768%
2024-06-03,504.04998779296875,Buy,TCNSBRANDS,3195.0,-5.581343048095703%
2024-06-03,2117.300048828125,Sell,TCPLPACK,1926.0,29.19204985046387%
2024-06-03,1169.25,Buy,TEJASNET,20062.0,2297.8824543590545%
2024-06-03,119.1500015258789,Buy,TEXINFRA,1518.0,11533.586644794465%
2024-06-03,1248.199951171875,Buy,THANGAMAYL,3427.0,271.3134556655884%
2024-06-03,210.0,Buy,THEMISMED,1932.0,-57.359646562099456%
2024-06-03,209.10000610351562,Sell,THOMASCOOK,9838.0,583.7765832719803%
2024-06-03,235.75,Sell,TI,4544.0,8006.141974386214%
2024-06-03,1830.5,Buy,TIDEWATER,3198.0,44165.227936965945%
2024-06-03,2555.300048828125,Sell,TIIL,5870.0,969.0080966224671%
2024-06-03,3835.300048828125,Buy,TIINDIA,73727.0,620.9432539672852%
2024-06-03,4081.449951171875,Buy,TIMKEN,30714.0,139.9224359149933%
2024-06-03,1492.5,Sell,TITAGARH,20100.0,114316.094376091%
2024-06-03,250.5500030517578,Sell,TNPL,1734.0,142.59376882934572%
2024-06-03,2677.949951171875,Sell,TORNTPHARM,90630.0,4223.8071762962345%
2024-06-03,735.0,Sell,TRIL,10478.0,53469.35360656834%
2024-06-03,332.79998779296875,Sell,TRIVENI,7285.0,6289.355827102661%
2024-06-03,1464.4000244140625,Sell,TTKHLTCARE,2069.0,-5.404865966796875%
2024-06-03,75.25,Sell,TTML,14711.0,91931.29091502976%
