symbol,multiplier,period,average_success_percentage,average_loss_percentage,percentage,Market Cap cr
DJML.NS,1.5,7,14.397742083415045,-3.3154958057704507,80.63998351287842,391.506048
KHAITANLTD.NS,3.0,12,14.488150228786632,-4.998737150069148,2515.7123979406356,49.3736544
RELTD.NS,2.0,7,2.1701467716315324,0.0,2.1695263442993165,1172.0653824
MANAKCOAT.NS,1.5,8,17.52792427942948,-5.1204640298534425,7151.456926621199,510.673664
REGENCERAM.NS,2.5,10,17.810085754495233,-4.885723986000154,50865.02427602511,153.519936
VISASTEEL.NS,2.5,15,14.153267638488702,-5.3251307392770055,4543.216696071147,281.4383872
CALSOFT.NS,1.5,17,17.047711720510264,-4.855303071094872,50980.307333008765,34.0157248
PREMIER.NS,1.5,17,14.776440739508553,-4.659574631956408,8152.253116820812,12.34036
MALLCOM.NS,1.5,8,7.664682985489489,-4.918625988589729,-4.008594421386719,873.4708736
BBOX.NS,2.0,10,15.173689686593887,-5.15105907556329,58207.78001346922,9178.5756672
PRAENG.NS,1.5,10,14.823748380247583,-4.87418721610055,4245.627591646671,296.8774656
FMNL.NS,1.5,9,16.07137459644369,-4.686759281676665,19293.87569370937,70.6701952
TVVISION.NS,1.5,17,25.13478781139163,-4.398045457918425,161575.42394049623,54.8096448
CEREBRAINT.NS,2.5,9,17.140703604673856,-6.06839175333086,3459.195688035488,177.901056
VIPULLTD.NS,1.5,17,14.680289748570218,-4.445863050556998,1047.4021760082244,586.0137984
ROLEXRINGS.NS,2.5,12,10.433034366586861,-3.46316867733784,55.20323889160156,7017.3024256
DTIL.NS,3.0,13,9.184362974267868,-4.607082037554477,163.60935222625733,267.8533632
HINDNATGLS.NS,3.0,21,11.238585874427553,-3.564134671089877,1265.2682103090287,187.9993216
AJOONI.NS,1.5,17,16.090097405732074,-4.725247739769988,2331.084542225003,97.880832
VLEGOV.NS,1.5,17,19.669448706607827,-6.370706104815478,190.1970649471283,1313.580544
VERANDA.NS,3.0,7,24.679277343104083,-7.182220193249198,247.32947320556642,2339.5647488
SMSLIFE.NS,1.5,7,11.470863222957203,-3.7836142601258063,89.94355339050293,443.3238016
VETO.NS,2.0,18,11.174830982416848,-4.669223620502855,201.3423136138916,332.1335296
CAPTRUST.NS,2.5,20,18.001447361949705,-5.173150221106224,647.9615713729859,263.9398144
AMNPLST.NS,2.5,16,24.46864407421828,-5.614210074860529,110.75318548583984,1809.0575872
AARTECH.NS,1.5,17,10.93745492582743,-2.9458353517596936,161.7642081451416,253.3054208
GOKULAGRO.NS,2.0,18,21.851557245317363,-5.0813545623419305,861.1902752952576,3912.8408064
RADHIKAJWE.NS,3.0,11,20.008427932363183,-8.749766182139416,75.75637357139587,1237.7020416
SECURCRED.NS,1.5,8,13.86225670805839,-6.30612369153907,126.07994449162483,28.0048288
SANCO.NS,1.5,13,17.361564405988883,-5.083094479518686,1670.4458134169577,5.4299524
OFSS.NS,1.5,20,7.44574597943419,-2.816904666929658,3400.307797454834,99354.2406144
AGROPHOS.NS,1.5,20,16.592453076739517,-4.623289093616028,999.9541580362321,92.9972928
FSC.NS,1.5,8,12.367998337630887,-4.779388459148197,88.68153140091896,13.7418032
INDOTHAI.NS,2.0,10,19.38671281957483,-5.152935849531275,1182.70258943367,464.2164224
ORIENTALTL.NS,2.0,19,18.31324351715561,-4.954101752277826,1137.1851879140138,52.8076064
FILATFASH.NS,2.0,21,0.0,-16.36363544411566,-16.36361884403229,1108.43136
SANOFI.NS,1.5,17,4.551933898284349,-2.0060714660181445,284.011807723999,16445.5415808
ALLSEC.NS,3.0,8,17.965920824550842,-5.786281015789915,8853.402563455582,1797.738496
NITCO.NS,1.5,19,14.562411853096958,-4.847042936349894,18889.222015770913,616.1909248
E2E.NS,1.5,11,15.721357581627167,-4.5155946776782905,6705.818202896118,3531.9967744
AFIL.NS,2.0,16,2.096780184049182,0.0,4.219283630371094,486.638592
RPPINFRA.NS,2.0,13,11.445258150619326,-5.203592507429525,509.8846189994812,1425.870848
NRL.NS,1.5,7,19.787631940893085,-4.692559355580824,86.81775955200195,684.4094464
HESTERBIO.NS,3.0,8,12.396052992485712,-5.494391551043574,411.701410949707,2069.251072
SANDESH.NS,3.0,17,8.478066633685385,-3.610338450933026,3.7086791534423824,1315.2623616
GRSE.NS,3.0,16,20.69136980334455,-5.653129497509939,856.8664058303833,21915.516928
INDRAMEDCO.NS,2.5,19,13.285779590276581,-5.1479905705578375,424.16338285207746,4019.8610944
GATECH.NS,1.5,20,32.73143475495088,-3.1339942219686847,187.42754885673523,138.5538944
KOPRAN.NS,2.0,15,15.860260612937964,-5.795074419442983,8163.132850299358,1486.091776
PARSVNATH.NS,1.5,11,17.36987435587574,-5.295577517124909,97972.99063526392,834.6771456
UNIDT.NS,2.0,7,10.378644025109235,-6.205008862188546,47.92076655578613,550.5419264
LGHL.NS,2.0,20,14.519031694740397,-3.498358388670102,936.3970439729691,605.0763776
SETUINFRA.NS,1.5,7,25.237101890081775,-6.182915185721009,5646074.4604166355,12.4529576
VCL.NS,1.5,16,10.189360004430318,-7.050508499519022,-36.3656743812561,13.413896
RGL.NS,3.0,8,14.963136480118262,-5.1242494562801255,198.61272542381286,1101.1852288
THANGAMAYL.NS,2.0,19,9.965773003367474,-3.7419498356332004,441.38888626098634,6393.7347584
JINDALSAW.NS,3.0,20,17.304737177916653,-5.865629411761115,7484.032892847061,22755.6294656
HINDCOMPOS.NS,3.0,14,10.28775084352041,-4.177850858085194,6989.444178386212,893.3768192
INVENTURE.NS,2.0,8,11.121558174868602,-4.58605778164147,-0.14563579815626146,264.644352
ICRA.NS,1.5,10,5.763341161467349,-2.2171137421903393,458.4918966064453,5986.2704128
AKSHOPTFBR.NS,1.5,14,13.603959787452357,-4.92499201629934,7132.084631812096,148.4006144
SEQUENT.NS,1.5,8,10.293961455684975,-4.085805597889001,121.13644718933105,4192.2850816
